date,Paris_weather,Paris_min,Paris_max,Paris_avg,tweetCount,replyCount,retweetCount,likeCount,quoteCount,reactions,replyAvg,retweetAvg,likeAvg,quoteAvg,reactionsAvg,contest
2020-01-20,3,3,7,5.0,6,18,54,761,6,839,3.0,9.0,126.8,1.0,139.8,0
2020-01-21,3,3,8,5.5,7,30,28,191,1,250,4.3,4.0,27.3,0.1,35.7,0
2020-01-22,3,3,7,5.0,29,170,351,2646,16,3183,5.9,12.1,91.2,0.6,109.8,0
2020-01-23,3,3,8,5.5,9,120,281,1479,21,1901,13.3,31.2,164.3,2.3,211.2,1
2020-01-24,3,3,8,5.5,10,137,103,848,6,1094,13.7,10.3,84.8,0.6,109.4,2
2020-01-25,2,3,8,5.5,27,198,188,1227,7,1620,7.3,7.0,45.4,0.3,60.0,1
2020-01-26,3,5,10,7.5,8,52,74,619,4,749,6.5,9.2,77.4,0.5,93.6,1
2020-01-27,1,8,9,8.5,12,255,3760,3082,36,7133,21.2,313.3,256.8,3.0,594.4,1
2020-01-28,2,6,9,7.5,6,43,101,454,3,601,7.2,16.8,75.7,0.5,100.2,2
2020-01-29,2,6,9,7.5,12,109,327,1792,11,2239,9.1,27.2,149.3,0.9,186.6,1
2020-01-30,2,6,11,8.5,10,96,187,1376,10,1669,9.6,18.7,137.6,1.0,166.9,0
2020-01-31,2,11,13,12.0,7,34,72,581,2,689,4.9,10.3,83.0,0.3,98.4,0
2020-02-01,1,12,14,13.0,9,6,63,334,0,403,0.7,7.0,37.1,0.0,44.8,0
2020-02-02,1,13,16,14.5,9,18,82,563,3,666,2.0,9.1,62.6,0.3,74.0,0
2020-02-03,3,11,13,12.0,9,103,237,1676,22,2038,11.4,26.3,186.2,2.4,226.4,0
2020-02-04,2,7,8,7.5,3,6,33,212,0,251,2.0,11.0,70.7,0.0,83.7,0
2020-02-05,3,6,9,7.5,8,3061,3288,12203,195,18747,382.6,411.0,1525.4,24.4,2343.4,0
2020-02-06,3,4,10,7.0,9,4709,41773,19836,1281,67599,523.2,4641.4,2204.0,142.3,7511.0,2
2020-02-07,3,5,10,7.5,8,46,321,896,6,1269,5.8,40.1,112.0,0.8,158.6,0
2020-02-08,2,8,10,9.0,7,43,210,596,2,851,6.1,30.0,85.1,0.3,121.6,0
2020-02-09,3,9,12,10.5,5,82,535,1078,18,1713,16.4,107.0,215.6,3.6,342.6,0
2020-02-10,2,9,13,11.0,10,152,378,1112,17,1659,15.2,37.8,111.2,1.7,165.9,0
2020-02-11,2,7,8,7.5,12,71,199,1219,4,1493,5.9,16.6,101.6,0.3,124.4,0
2020-02-12,2,5,9,7.0,16,227,419,2531,25,3202,14.2,26.2,158.2,1.6,200.1,0
2020-02-13,1,8,10,9.0,7,20,127,474,2,623,2.9,18.1,67.7,0.3,89.0,0
2020-02-14,2,8,11,9.5,9,160,403,1928,17,2508,17.8,44.8,214.2,1.9,278.7,1
2020-02-15,2,8,13,10.5,3,17,81,320,4,422,5.7,27.0,106.7,1.3,140.7,0
2020-02-16,2,14,16,15.0,4,34,181,673,3,891,8.5,45.2,168.2,0.8,222.8,1
2020-02-17,2,9,12,10.5,9,35,215,661,4,915,3.9,23.9,73.4,0.4,101.7,0
2020-02-18,3,6,11,8.5,12,285,458,2437,25,3205,23.8,38.2,203.1,2.1,267.1,0
2020-02-19,3,7,9,8.0,10,269,563,2234,20,3086,26.9,56.3,223.4,2.0,308.6,0
2020-02-20,2,9,10,9.5,14,810,678,5150,38,6676,57.9,48.4,367.9,2.7,476.9,0
2020-02-21,3,6,9,7.5,8,55,106,708,1,870,6.9,13.2,88.5,0.1,108.8,2
2020-02-22,3,7,12,9.5,3,16,28,162,1,207,5.3,9.3,54.0,0.3,69.0,0
2020-02-23,2,12,14,13.0,4,22,45,305,1,373,5.5,11.2,76.2,0.2,93.2,0
2020-02-24,2,11,12,11.5,9,48,63,501,2,614,5.3,7.0,55.7,0.2,68.2,0
2020-02-25,2,8,11,9.5,9,37,86,885,6,1014,4.1,9.6,98.3,0.7,112.7,0
2020-02-26,0,2,7,4.5,10,38,38,319,6,401,3.8,3.8,31.9,0.6,40.1,0
2020-02-27,1,6,10,8.0,9,57,101,426,6,590,6.3,11.2,47.3,0.7,65.6,0
2020-02-28,2,5,7,6.0,7,14,25,222,2,263,2.0,3.6,31.7,0.3,37.6,0
2020-02-29,2,8,11,9.5,4,4,19,140,0,163,1.0,4.8,35.0,0.0,40.8,0
2020-03-01,2,2,9,5.5,5,13,27,262,3,305,2.6,5.4,52.4,0.6,61.0,0
2020-03-02,1,6,8,7.0,7,11,27,264,1,303,1.6,3.9,37.7,0.1,43.3,0
2020-03-03,2,3,9,6.0,4,7,16,159,1,183,1.8,4.0,39.8,0.2,45.8,0
2020-03-04,2,4,8,6.0,14,6189,2648,4999,147,13983,442.1,189.1,357.1,10.5,998.8,1
2020-03-05,1,8,11,9.5,8,220,224,1252,17,1713,27.5,28.0,156.5,2.1,214.1,1
2020-03-06,2,6,9,7.5,15,84,212,1560,6,1862,5.6,14.1,104.0,0.4,124.1,1
2020-03-07,3,4,11,7.5,5,77,59,382,1,519,15.4,11.8,76.4,0.2,103.8,0
2020-03-08,2,7,10,8.5,7,88,129,730,6,953,12.6,18.4,104.3,0.9,136.1,0
2020-03-09,2,6,11,8.5,12,74,47,491,7,619,6.2,3.9,40.9,0.6,51.6,0
2020-03-10,2,8,14,11.0,13,847,15735,6385,412,23379,65.2,1210.4,491.2,31.7,1798.4,1
2020-03-11,2,13,16,14.5,6,47,392,618,34,1091,7.8,65.3,103.0,5.7,181.8,0
2020-03-12,2,7,12,9.5,14,156,462,3262,34,3914,11.1,33.0,233.0,2.4,279.6,0
2020-03-13,3,6,11,8.5,9,156,758,2248,40,3202,17.3,84.2,249.8,4.4,355.8,0
2020-03-14,2,7,11,9.0,6,10,27,236,3,276,1.7,4.5,39.3,0.5,46.0,0
2020-03-15,2,7,15,11.0,32,61,87,830,6,984,1.9,2.7,25.9,0.2,30.8,0
2020-03-16,2,9,11,10.0,9,29,30,178,3,240,3.2,3.3,19.8,0.3,26.7,0
2020-03-17,2,9,15,12.0,14,217,123,1207,12,1559,15.5,8.8,86.2,0.9,111.4,0
2020-03-18,3,9,17,13.0,17,197,205,2016,11,2429,11.6,12.1,118.6,0.6,142.9,0
2020-03-19,3,12,18,15.0,31,156,432,3798,9,4395,5.0,13.9,122.5,0.3,141.8,1
2020-03-20,3,10,17,13.5,16,455,111,698,9,1273,28.4,6.9,43.6,0.6,79.6,0
2020-03-21,2,7,9,8.0,9,129,295,1762,11,2197,14.3,32.8,195.8,1.2,244.1,0
2020-03-22,3,6,11,8.5,7,43,27,327,1,398,6.1,3.9,46.7,0.1,56.9,0
2020-03-23,3,2,11,6.5,33,130,111,1610,6,1857,3.9,3.4,48.8,0.2,56.3,1
2020-03-24,3,4,13,8.5,12,58,78,760,8,904,4.8,6.5,63.3,0.7,75.3,0
2020-03-25,3,4,11,7.5,13,675,95,1731,20,2521,51.9,7.3,133.2,1.5,193.9,0
2020-03-26,3,4,10,7.0,14,123,82,957,5,1167,8.8,5.9,68.4,0.4,83.4,0
