,Date,Paris,Versailles,Melun,Fontainebleau,Cergy
153,03/06/2018,22°C/25°C,19°C/25°C,21°C/24°C,21°C/24°C,22°C/25°C
154,04/06/2018,20°C/25°C,19°C/25°C,21°C/25°C,21°C/25°C,19°C/25°C
155,05/06/2018,17°C/23°C,16°C/23°C,17°C/22°C,17°C/22°C,16°C/23°C
156,06/06/2018,20°C/25°C,19°C/24°C,20°C/23°C,20°C/23°C,19°C/26°C
157,07/06/2018,20°C/24°C,18°C/22°C,18°C/23°C,18°C/23°C,20°C/23°C
158,08/06/2018,22°C/25°C,19°C/25°C,22°C/24°C,22°C/24°C,22°C/25°C
159,09/06/2018,22°C/26°C,19°C/26°C,21°C/25°C,21°C/25°C,22°C/26°C
160,10/06/2018,22°C/26°C,19°C/25°C,22°C/24°C,22°C/24°C,22°C/26°C
161,11/06/2018,20°C/23°C,17°C/23°C,21°C/23°C,20°C/23°C,20°C/23°C
162,12/06/2018,15°C/18°C,15°C/18°C,16°C/18°C,16°C/18°C,15°C/19°C
163,13/06/2018,16°C/17°C,14°C/17°C,10°C/16°C,10°C/16°C,16°C/17°C
164,14/06/2018,17°C/21°C,15°C/20°C,17°C/20°C,17°C/20°C,16°C/20°C
165,15/06/2018,19°C/22°C,16°C/22°C,19°C/21°C,19°C/21°C,19°C/22°C
166,16/06/2018,18°C/21°C,16°C/20°C,17°C/21°C,17°C/21°C,18°C/21°C
167,17/06/2018,16°C/20°C,16°C/19°C,16°C/19°C,16°C/19°C,16°C/20°C
168,18/06/2018,18°C/22°C,18°C/21°C,18°C/22°C,18°C/22°C,18°C/22°C
169,19/06/2018,18°C/22°C,18°C/22°C,19°C/22°C,19°C/22°C,18°C/22°C
170,20/06/2018,23°C/28°C,21°C/27°C,22°C/27°C,22°C/27°C,23°C/28°C
171,21/06/2018,17°C/20°C,13°C/20°C,18°C/20°C,17°C/20°C,16°C/19°C
172,22/06/2018,16°C/20°C,14°C/20°C,16°C/19°C,16°C/19°C,17°C/20°C
173,23/06/2018,16°C/21°C,16°C/21°C,15°C/20°C,15°C/20°C,16°C/21°C
174,24/06/2018,19°C/22°C,16°C/22°C,18°C/21°C,18°C/21°C,19°C/22°C
175,25/06/2018,19°C/23°C,18°C/24°C,18°C/22°C,18°C/22°C,19°C/24°C
176,26/06/2018,21°C/25°C,19°C/26°C,21°C/25°C,21°C/25°C,21°C/25°C
177,27/06/2018,23°C/27°C,21°C/27°C,23°C/26°C,23°C/26°C,22°C/27°C
178,28/06/2018,23°C/26°C,21°C/26°C,22°C/25°C,22°C/25°C,23°C/26°C
179,29/06/2018,24°C/27°C,22°C/27°C,24°C/26°C,24°C/26°C,24°C/28°C
180,30/06/2018,25°C/30°C,24°C/29°C,25°C/29°C,25°C/29°C,24°C/29°C
181,01/07/2018,26°C/31°C,25°C/32°C,25°C/31°C,25°C/31°C,26°C/32°C
182,02/07/2018,24°C/29°C,22°C/29°C,24°C/29°C,24°C/29°C,25°C/30°C
183,03/07/2018,25°C/29°C,21°C/28°C,25°C/28°C,25°C/28°C,25°C/29°C
184,04/07/2018,25°C/27°C,21°C/27°C,24°C/27°C,24°C/27°C,25°C/27°C
