date,Paris_weather,Paris_min,Paris_max,Paris_avg
14/04/2020,3,4,13,8.5
15/04/2020,3,7,18,12.5
16/04/2020,3,13,23,18.0
17/04/2020,0,15,24,19.5
18/04/2020,3,15,22,18.5
19/04/2020,3,11,20,15.5
20/04/2020,3,12,19,15.5
21/04/2020,3,12,19,15.5
22/04/2020,3,13,21,17.0
23/04/2020,3,16,26,21.0
24/04/2020,3,16,24,20.0
25/04/2020,3,12,21,16.5
26/04/2020,3,12,24,18.0
27/04/2020,3,14,23,18.5
28/04/2020,2,13,18,15.5
29/04/2020,2,11,15,13.0
30/04/2020,2,10,14,12.0
01/05/2020,2,10,15,12.5
02/05/2020,2,9,17,13.0
03/05/2020,2,11,18,14.5
04/05/2020,3,13,20,16.5
05/05/2020,2,10,15,12.5
06/05/2020,3,11,19,15.0
07/05/2020,3,13,21,17.0
08/05/2020,3,13,23,18.0
09/05/2020,1,17,23,20.0
10/05/2020,3,16,22,19.0
11/05/2020,3,8,15,11.5
12/05/2020,2,6,14,10.0
13/05/2020,3,7,15,11.0
14/05/2020,3,6,15,10.5
15/05/2020,3,7,16,11.5
16/05/2020,3,9,19,14.0
17/05/2020,3,10,22,16.0
18/05/2020,3,13,23,18.0
19/05/2020,3,13,24,18.5
20/05/2020,3,15,26,20.5
21/05/2020,3,19,29,24.0
22/05/2020,3,18,25,21.5
23/05/2020,2,15,19,17.0
24/05/2020,3,12,19,15.5
25/05/2020,3,13,23,18.0
26/05/2020,3,15,24,19.5
27/05/2020,3,16,25,20.5
28/05/2020,3,14,23,18.5
29/05/2020,3,15,22,18.5
30/05/2020,3,16,24,20.0
31/05/2020,3,15,22,18.5
01/06/2020,3,14,26,20.0
02/06/2020,3,18,27,22.5
03/06/2020,2,18,24,21.0
04/06/2020,1,13,16,14.5
05/06/2020,2,11,16,13.5
06/06/2020,3,13,17,15.0
07/06/2020,2,11,20,15.5
08/06/2020,2,12,20,16.0
09/06/2020,2,10,18,14.0
10/06/2020,3,12,22,17.0
11/06/2020,3,14,22,18.0
12/06/2020,1,15,20,17.5
13/06/2020,3,14,23,18.5
14/06/2020,3,15,23,19.0
15/06/2020,2,15,22,18.5
16/06/2020,3,15,23,19.0
17/06/2020,2,16,22,19.0
18/06/2020,3,15,21,18.0
19/06/2020,3,14,21,17.5
20/06/2020,2,16,24,20.0
21/06/2020,3,17,20,18.5
22/06/2020,3,17,27,22.0
23/06/2020,3,18,28,23.0
24/06/2020,3,21,30,25.5
25/06/2020,3,22,31,26.5
26/06/2020,3,23,28,25.5
27/06/2020,2,18,23,20.5
28/06/2020,2,16,22,19.0
29/06/2020,3,16,20,18.0
30/06/2020,2,15,21,18.0
01/07/2020,2,14,22,18.0
02/07/2020,2,16,21,18.5
03/07/2020,3,15,22,18.5
04/07/2020,2,15,21,18.0
05/07/2020,2,18,22,20.0
06/07/2020,2,13,20,16.5
07/07/2020,3,16,25,20.5
08/07/2020,3,17,25,21.0
09/07/2020,3,19,29,24.0
10/07/2020,2,18,22,20.0
11/07/2020,3,17,23,20.0
12/07/2020,3,16,25,20.5
13/07/2020,3,17,26,21.5
14/07/2020,2,18,23,20.5
15/07/2020,2,17,22,19.5
16/07/2020,2,17,21,19.0
17/07/2020,3,17,25,21.0
18/07/2020,3,19,29,24.0
19/07/2020,2,19,30,24.5
20/07/2020,3,17,25,21.0
21/07/2020,3,16,26,21.0
22/07/2020,2,16,26,21.0
23/07/2020,3,18,28,23.0
24/07/2020,2,18,25,21.5
25/07/2020,3,19,25,22.0
26/07/2020,3,18,25,21.5
27/07/2020,3,19,29,24.0
28/07/2020,3,18,24,21.0
29/07/2020,3,18,28,23.0
30/07/2020,3,19,33,26.0
31/07/2020,3,25,37,31.0
01/08/2020,2,21,28,24.5
02/08/2020,3,17,25,21.0
03/08/2020,2,18,23,20.5
04/08/2020,3,17,27,22.0
05/08/2020,3,19,31,25.0
06/08/2020,3,23,34,28.5
07/08/2020,3,27,37,32.0
08/08/2020,3,27,38,32.5
09/08/2020,0,27,37,32.0
10/08/2020,3,25,36,30.5
11/08/2020,3,27,38,32.5
12/08/2020,3,27,35,31.0
13/08/2020,2,23,28,25.5
14/08/2020,3,20,26,23.0
15/08/2020,3,21,30,25.5
16/08/2020,2,21,28,24.5
17/08/2020,2,18,24,21.0
18/08/2020,3,19,26,22.5
19/08/2020,3,16,23,19.5
20/08/2020,3,22,32,27.0
21/08/2020,3,22,27,24.5
22/08/2020,3,18,24,21.0
23/08/2020,3,16,22,19.0
24/08/2020,2,16,23,19.5
25/08/2020,3,18,25,21.5
26/08/2020,3,17,23,20.0
27/08/2020,3,17,25,21.0
28/08/2020,2,15,23,19.0
29/08/2020,3,13,18,15.5
30/08/2020,2,14,21,17.5
31/08/2020,3,14,20,17.0
01/09/2020,3,14,21,17.5
02/09/2020,3,15,25,20.0
03/09/2020,3,17,26,21.5
04/09/2020,3,19,29,24.0
05/09/2020,2,16,21,18.5
06/09/2020,3,14,20,17.0
07/09/2020,3,15,25,20.0
08/09/2020,2,17,23,20.0
09/09/2020,3,18,27,22.5
10/09/2020,2,18,27,22.5
11/09/2020,3,19,27,23.0
12/09/2020,3,15,28,21.5
13/09/2020,3,19,32,25.5
14/09/2020,3,21,36,28.5
15/09/2020,3,22,34,28.0
16/09/2020,3,22,32,27.0
17/09/2020,3,17,27,22.0
18/09/2020,3,16,28,22.0
19/09/2020,3,21,28,24.5
20/09/2020,3,19,28,23.5
21/09/2020,3,17,29,23.0
22/09/2020,3,17,26,21.5
23/09/2020,2,17,23,20.0
24/09/2020,2,12,18,15.0
25/09/2020,1,10,13,11.5
26/09/2020,2,10,14,12.0
