date,replyCount,retweetCount,likeCount,quoteCount
15/05/2020,134,436,2381,28
15/06/2019,652,126,632,101
15/06/2020,394,114,489,13
15/07/2019,157,25,169,5
15/07/2020,6,0,143,0
15/08/2019,1,7,39,0
15/08/2020,25,36,365,2
15/09/2018,121,374,1031,22
15/09/2019,30,38,209,3
15/09/2020,8,16,201,1
15/10/2018,121,121,789,18
15/10/2019,722,70,869,18
15/10/2020,314,1059,2265,20
15/11/2018,50,106,520,12
15/11/2019,17,70,356,2
15/11/2020,14,19,310,4
15/12/2018,11,175,817,5
15/12/2019,29,27,411,3
15/12/2020,82,298,1361,16
16/01/2019,154,785,1090,14
16/01/2020,10,14,87,6
16/02/2019,434,386,928,28
16/02/2020,34,180,673,3
16/03/2019,21,276,365,4
16/03/2020,29,30,178,3
16/04/2019,28,150,864,10
16/04/2020,17,54,418,2
16/05/2019,280,278,1957,12
16/05/2020,69,56,361,8
16/06/2019,124,46,378,16
16/06/2020,40,140,502,5
16/07/2019,83,14,132,12
16/07/2020,1333,14758,6012,454
16/08/2019,2,5,45,1
16/08/2020,8,20,283,2
16/09/2018,53,351,902,7
16/09/2019,36,25,145,4
16/09/2020,23,16,203,2
16/10/2018,58,65,521,13
16/10/2019,745,115,1140,38
16/10/2020,204,549,1260,7
16/11/2018,32,41,395,3
16/11/2019,202,1437,3478,26
16/11/2020,98,141,679,16
16/12/2018,29,87,350,9
16/12/2019,1065,483,6968,43
16/12/2020,7,18,237,0
17/01/2019,249,354,2363,22
17/01/2020,5,20,127,3
17/02/2019,18,78,610,2
17/02/2020,35,214,661,4
17/03/2019,185,548,1105,20
17/03/2020,217,122,1206,12
17/04/2019,51,218,989,6
17/04/2020,68,96,1081,7
17/05/2019,621,241,2398,18
17/05/2020,49,92,647,4
17/06/2019,5,14,115,0
17/06/2020,79,43,540,8
17/07/2019,1014,22,255,23
17/07/2020,34,152,428,8
17/08/2019,7,3,47,1
17/08/2020,14,9,160,1
17/09/2018,203,178,1016,32
17/09/2019,38,39,227,4
17/09/2020,806,446,4340,40
17/10/2018,81,172,939,13
17/10/2019,554,109,1168,15
17/10/2020,793,1462,2139,37
17/11/2018,3,24,97,1
17/11/2019,23,97,743,2
17/11/2020,42,100,655,9
17/12/2018,33,48,344,9
17/12/2019,238,108,3024,2
17/12/2020,88,345,1354,6
18/01/2019,337,687,3511,17
18/01/2020,2,5,34,0
18/02/2019,217,565,1615,23
18/02/2020,285,458,2434,25
18/03/2019,126,78,901,6
18/03/2020,197,205,2017,11
18/04/2019,50,64,931,12
18/04/2020,14,23,171,0
18/05/2019,25,12,262,2
18/05/2020,51,61,809,1
18/06/2019,72,129,930,17
18/06/2020,8,9,176,1
18/07/2019,5,6,84,2
18/07/2020,64,144,397,3
18/08/2019,5,15,102,0
18/08/2020,39,44,363,7
18/09/2018,28,58,409,2
18/09/2019,16,20,201,2
18/09/2020,56,32,389,2
18/10/2018,45,93,520,4
18/10/2019,4012,3894,2700,596
18/10/2020,86,495,1158,5
18/11/2018,19,76,469,3
18/11/2019,525,1847,5426,47
18/11/2020,3131,52377,19155,5752
18/12/2018,202,73,644,9
18/12/2019,19170,23660,14576,4385
18/12/2020,6779,79211,26492,1434
19/01/2019,45,100,549,5
19/01/2020,5,13,132,1
19/02/2019,32,68,507,10
19/02/2020,269,563,2236,20
19/03/2019,40,108,1032,7
19/03/2020,156,432,3800,9
19/04/2019,79,108,726,8
19/04/2020,22,45,454,1
19/05/2019,37,55,569,2
19/05/2020,18,19,196,1
19/06/2019,147,333,2712,36
19/06/2020,420,74,1035,34
19/07/2019,3,22,89,0
19/07/2020,17,91,453,3
19/08/2019,21,22,200,1
19/08/2020,11,13,174,0
19/09/2018,49,73,508,9
19/09/2019,19,14,185,2
19/09/2020,10,23,180,2
19/10/2018,83,124,733,8
19/10/2019,889,85,576,17
19/10/2020,240,944,2322,21
19/11/2018,755,9380,3150,147
19/11/2019,1960,41172,15590,465
19/11/2020,214,622,2526,93
19/12/2018,366,729,2262,58
19/12/2019,2408,837,8133,199
19/12/2020,85,793,1197,13
20/01/2019,251,822,2356,27
20/01/2020,18,54,762,6
20/02/2019,319,764,4494,56
20/02/2020,810,676,5148,38
20/03/2019,24,48,392,3
20/03/2020,457,111,698,9
20/04/2019,21,72,353,2
20/04/2020,70,172,899,10
20/05/2019,120,308,2012,19
20/05/2020,24,27,279,4
20/06/2019,19,27,162,1
20/06/2020,6,3,180,0
20/07/2019,281,17,124,8
20/07/2020,16,91,367,1
20/08/2019,116,426,2450,21
20/08/2020,15,28,269,2
20/09/2018,115,54,369,12
20/09/2019,1448,915,1019,162
20/09/2020,10,28,247,0
20/10/2018,23,138,880,4
20/10/2019,655,394,3818,24
20/10/2020,410,234,1930,6
20/11/2018,46,72,421,5
20/11/2019,1215,1218,2564,51
20/11/2020,84,487,1345,64
20/12/2018,215,330,2340,39
20/12/2019,252,311,3778,11
20/12/2020,122,1197,1567,20
21/01/2019,7890,60428,26416,2063
21/01/2020,30,28,191,1
21/02/2019,59,176,858,10
21/02/2020,55,106,708,1
21/03/2019,63,92,730,6
21/03/2020,129,295,1762,11
21/04/2019,11,24,291,3
21/04/2020,206,93,827,22
21/05/2019,71,153,1112,5
21/05/2020,31,36,335,3
21/06/2019,148,108,740,24
21/06/2020,16,16,257,2
21/07/2019,3,16,167,0
21/07/2020,16,17,250,2
21/08/2019,19,11,113,1
21/08/2020,10,33,208,3
21/09/2018,29,74,420,4
21/09/2019,21,26,100,4
21/09/2020,4,7,143,0
21/10/2018,22,78,518,4
21/10/2019,128,27,465,6
21/10/2020,26,43,287,2
21/11/2018,158,418,1332,41
21/11/2019,510,405,2047,44
21/11/2020,447,1203,2094,242
21/12/2018,79,93,903,5
21/12/2019,11,8,142,2
21/12/2020,659,2676,3349,61
22/01/2019,807,1783,5112,51
22/01/2020,170,351,2644,16
22/02/2019,167,119,1574,22
22/02/2020,16,28,162,1
22/03/2019,38,84,593,8
22/03/2020,43,27,327,1
22/04/2019,55,56,662,2
22/04/2020,87,361,2667,24
22/05/2019,87,35,298,8
22/05/2020,26,28,503,0
22/06/2019,6,5,39,0
22/06/2020,33,1,151,26
22/07/2019,9,16,84,0
22/07/2020,154,174,446,11
22/08/2019,5,6,49,0
22/08/2020,6,20,180,0
22/09/2018,22,152,266,3
22/09/2019,37,92,902,2
22/09/2020,14,10,146,2
